PhaseID,C14Age,C14SD,LabID
AsIb,9285,50,LY-11383
CAIa,9290,110,GrN-10361
AH1,9300,250,OxA-406
Mo,9310,30,RTT 4750
PSI,9310,80,Lyon-290
KMIA,9315,60,OxA-7460
CAIa,9320,55,GrN-6243
JEI,9320,150,BM-252
ZAD,9323,59,WK-9444
AsIb,9340,120,GIF-2370
HG,9340,70,RT-1397
DJ,9370,75,Ly-8842
N,9370,120,Gd-6131
AH2A,9374,72,BM-1122
JEI,9380,85,BM-1322
JEI,9380,85,BM-1323
JEI,9390,150,BM-251
JAA,9395,55,Ly-10647
SC5,9395,130,Hv-3368
N,9410,550,Gd-4213
N,9420,90,Gd-5443
JEI,9430,85,BM-1324
N,9440,160,Gd-2966
ZAD,9440,50,OZE-606
JAB,9445,75,Ly-10649
GT,9452,73,Hd-20025
N,9470,140,Gd-2713
ZAD,9470,50,OZE-607
N,9480,170,Gd-2773
N,9490,170,Gd-2972
ZAD,9490,50,OZE-605
N,9500,130,Gd-4193
SVI,9500,130,Rt-?
MuIII,9509,122,P-1224
HCT,9510,200,BETA-66850
N,9510,150,Gd-6129
HAI,9520,180,Beta-61488
MuIII,9520,150,Mc-612
ZAD,9528,61,WK-9570
N,9530,140,Gd-6120
AH1,9540,170,OxA-432
DJ,9540,290,Ly-5820
MuIII,9540,130,Mc-615
ZAD,9552,59,WK-9445
GT,9559,53,Hd-20036
CHIII,9560,190,Ly-4436
JEI,9560,65,BM-1327
MuIII,9570,200,Mc-614
N,9570,130,Gd-2766
QD,9580,95,OxA-3754
JEI,9582,89,P-377
AH1,9600,200,OxA-476
HCT,9600,180,BETA-66852
MuIVa,9600,150,Mc-861
NH,9600,170,RT-762B
ZAD,9603,59,WK-9447
Da,9610,170,ISGS-3277
DJ,9610,170,Ly-5821
JAB,9620,60,Ly-1589
MuIII,9620,200,Mc-613
ZAD,9623,91,WK-9568
N,9630,160,Gd-4453
AsIa,9640,120,GIF-2372
N,9640,300,Gd-4474
QD,9640,85,OxA-3757
JEI,9655,84,P-379
Mf,9660,250,OxA-3749
NH,9660,70,Pta-4556
MuIII,9675,110,Mc-616
JAB,9680,90,Ly-7489
Mf,9680,100,OxA-3819
NH,9680,140,RT-762A
TAH2,9680,90,OxA-1228
NH,9700,150,OxA-744
NH,9700,80,Pta-4590
GgI,9710,70,Pta-4585
QD,9710,85,OxA-3755
N,9720,130,Gd-6148
AsIa,9730,120,GIF-2633
MuIII,9730,150,Mc-735
JAB,9740,60,Beta-71866
N,9740,150,Gd-2937
NH,9750,90,Pta-4555
N,9770,520,Gd-4371
N,9770,240,Gd-4372
JEI,9775,110,P-378
N,9780,180,Gd-6121
N,9780,130,Gd-2963
NH,9780,150,RT-762F
NH,9780,90,Pta-4557
AMA,9790,100,Pta-4451
AMA,9790,100,Pta-4572
Ge,9790,140,Pta-868B
JAB,9790,80,Ly-275 (OxA)
NH,9790,380,RT-502A
EWB1,9795,600,UCLA-
AMA,9800,80,Pta-4580
N,9800,160,Gd-6127
N,9800,130,Gd-6152
AsIa,9805,115,LY-11385
JAB,9810,60,Beta-71870
Ge,9820,140,Pta-868A
GgI,9830,80,Pta-4583
Da,9835,65,ISGS-A0246
Da,9835,59,ISGS-A0248
AH1,9840,200,OxA-433
HCT,9840,50,BETA-55050
MuIII,9840,260,Mc-611
